id,year,longroup,latgroup,association,v_nb_calee_nulles,v_nb_calee_pos,Institute
1,2017,3.375,-20.875,FAD,0,1,IEO
2,2017,7.625,-20.625,FAD,0,1,IEO
3,2017,8.125,-20.125,FAD,0,2,IEO
4,2017,4.375,-19.875,FAD,0,1,IEO
5,2017,7.625,-19.875,FAD,0,2,IEO
6,2017,7.125,-19.375,FAD,0,1,IEO
7,2017,6.125,-19.125,FAD,0,1,IEO
8,2017,6.375,-19.125,FAD,0,1,IEO
9,2017,3.375,-18.875,FAD,0,1,IEO
10,2017,7.125,-18.625,FAD,0,1,IEO
11,2017,8.125,-18.625,FAD,0,1,IEO
12,2017,8.375,-18.625,FAD,0,1,IEO
13,2017,-0.875,-18.375,FAD,0,1,IEO
14,2017,3.625,-18.375,FAD,0,1,IEO
15,2017,7.875,-18.375,FAD,0,1,IEO
16,2017,-0.375,-18.125,FAD,0,1,IEO
17,2017,2.125,-18.125,FAD,0,3,IEO
18,2017,4.875,-18.125,FAD,0,1,IEO
19,2017,7.875,-18.125,FAD,0,1,IEO
20,2017,-2.375,-17.875,FAD,0,1,IEO
21,2017,2.625,-17.875,FAD,0,1,IEO
22,2017,0.625,-17.625,FAD,0,1,IEO
23,2017,2.125,-17.625,FAD,0,1,IEO
24,2017,2.625,-17.625,FAD,0,1,IEO
25,2017,3.625,-17.625,FAD,0,1,IEO
26,2017,7.625,-17.625,FAD,0,1,IEO
27,2017,8.125,-17.625,FAD,0,1,IEO
28,2017,-0.375,-17.375,FAD,0,1,IEO
29,2017,5.125,-17.375,FAD,0,1,IEO
30,2017,7.375,-17.375,FAD,0,1,IEO
31,2017,7.875,-17.375,FAD,0,2,IEO
32,2017,8.125,-17.375,FAD,0,1,IEO
33,2017,2.625,-17.125,FAD,0,1,IEO
34,2017,3.125,-17.125,FAD,0,1,IEO
35,2017,7.875,-17.125,FAD,0,1,IEO
36,2017,2.625,-16.875,FAD,0,1,IEO
37,2017,8.125,-16.875,FAD,0,1,IEO
38,2017,8.875,-16.875,FAD,0,1,IEO
39,2017,9.375,-16.875,FAD,0,1,IEO
